beta_deg,CP,CT,P_W,Thrust_N,lambda
5.8,0.361307276480137,0.481258516751323,1395652.59937324,187777.630416686,7.62
6.1,0.351520001876848,0.465095299848596,1357846.45449309,181471.060321277,7.62
6.4,0.341314055170724,0.44879207258566,1318423.0689797,175109.860930471,7.62
6.7,0.330650463918553,0.432323628224881,1277231.90063476,168684.197069827,7.62
7,0.319619571931425,0.415758472155242,1234621.92824444,162220.798197975,7.62
7.3,0.308228192417175,0.399097954163855,1190619.46977089,155720.190975363,7.62
7.6,0.296500616074452,0.382354397949748,1145318.35497873,149187.183867547,7.62
7.9,0.284497759309731,0.365561149082814,1098953.89089491,142634.787661621,7.62
8.2,0.272124047202686,0.348663524318281,1051156.89207902,136041.666028423,7.62
8.5,0.259382915971624,0.331662817783423,1001940.63190617,129408.323911021,7.62
8.8,0.246326789979813,0.314593918079044,951507.614459824,122748.374156896,7.62
9.1,0.232922075037267,0.297419298298877,899728.072581569,116047.174503542,7.62
9.4,0.2192201122101,0.280180678188132,846800.325810042,109321.003176954,7.62
9.7,0.205243565806192,0.262896745837972,792811.92151078,102577.151903622,7.62
10,0.190980265002026,0.245562126439715,737715.846400123,95813.5235386578,7.62
10.3,0.176393634355577,0.228158131673158,681370.817381772,89022.8262662036,7.62
10.6,0.161533744738897,0.210728943641103,623970.247506842,82222.2990758718,7.62
10.9,0.146445740271466,0.193305117233896,565688.518836807,75423.8638863547,7.62
11.2,0.131079547936298,0.175831973252769,506332.210035135,68606.185947159,7.62
11.5,0.115449741687989,0.158316081703279,445957.617165978,61771.8287455419,7.62
11.8,0.0995142470416767,0.140735820781525,384402.215508721,54912.3558778651,7.62
12.1,0.0832351041858039,0.123079600099479,321519.374444167,48023.2450021364,7.62
12.4,0.0666966802193355,0.105383834667609,257634.986000064,41118.7045409373,7.62
12.7,0.0498688467101615,0.0876308798826933,192632.670498151,34191.849916298,7.62
13,0.0327464683714412,0.0698213487357584,126492.591425592,27242.9203052889,7.62
13.3,0.0153861646160414,0.0519893112076843,59433.4574436485,20285.2091459591,7.62
13.6,-0.00221468215890523,0.0341318444540476,-8554.8426867388,13317.576001764,7.62
13.9,-0.020085816795424,0.0162337062797208,-77587.2069175148,6334.0736672336,7.62
14.2,-0.038237721879809,-0.00170368553167566,-147704.127233652,-664.744666282039,7.62
14.5,-0.0566078411675706,-0.019644408669511,-218663.96226529,-7664.86281800987,7.62
14.8,-0.075206998149856,-0.0376065118899463,-290508.52083981,-14673.3230584675,7.62
15.1,-0.0940416466048999,-0.0555922784449862,-363262.732519818,-21691.0162677873,7.62
15.4,-0.113105119723208,-0.0735855614798605,-436900.844848595,-28711.6422600569,7.62
15.7,-0.132360220755403,-0.0915646527086075,-511279.174752654,-35726.7308880345,7.62
16,-0.151835795790388,-0.109566810772267,-586509.148493189,-42750.8197423981,7.62
16.3,-0.171549275858065,-0.127588936565538,-662658.098404137,-49782.6996130677,7.62
16.6,-0.191528809464395,-0.145613228183298,-739834.756133232,-56815.4245459572,7.62
16.9,-0.211714236848906,-0.163614828703294,-817806.737414935,-63839.295857723,7.62
17.2,-0.232099056894941,-0.181621447870639,-896548.929828458,-70865.1253472129,7.62
17.5,-0.252822911891218,-0.199679661316439,-976600.741616914,-77911.08591182,7.62
17.8,-0.273999043225206,-0.21778548615137,-1058399.59999826,-84975.6235062784,7.62
18.1,-0.295370365950327,-0.235862642153939,-1140952.44090403,-92028.9750848629,7.62
18.4,-0.316930584553391,-0.253943835477277,-1224234.94611556,-99083.9019467946,7.62
18.7,-0.338886679702231,-0.272018876169416,-1309046.63760733,-106136.428172754,7.62
19,-0.361255601384965,-0.289894603403425,-1395452.98955192,-113111.1861981,7.62
19.3,-0.383777922277993,-0.307676328590237,-1482451.88978027,-120049.266469052,7.62
19.6,-0.406476358781816,-0.325466090169164,-1570131.08688055,-126990.482382526,7.62
19.9,-0.429093059768434,-0.342980576704779,-1657494.55718962,-133824.291375296,7.62
